书名,作者,豆瓣,Goodreads,类,归属场景
儿童认知行为疗法(CBT)手册,—,—,—,B,child_education
儿童音乐教育(奥尔夫/铃木),—,—,—,B,child_education
元素周期王国,彼得·阿特金斯,8.6,4.06(G),A/G,mining_extraction
元素的盛宴,萨姆·基恩,8.5,—,A,chemical_industry;metallurgy
先进封装技术,—,—,—,B,electronics_semiconductor
光刻技术原理,Levinson,—,—,B,electronics_semiconductor
光刻胶化学与技术,—,—,—,B,electronics_semiconductor
克氏外科学,Sabiston,—,—,B,family_doctor
党政机关公文写作规范,国务院办公厅,—,—,B,writing_polish
全国12315平台操作实务,专著,—,—,B,dispute_rights
全然接受这样的我,塔拉·布莱克,8.7,4.27,A/G,mental_wellness
全球通史:从史前到21世纪,斯塔夫里阿诺斯,9.0(25256人),4.16,A,cross_border
全科医学概论,人卫教材,—,—,B,health_checkup
全脑教养法,丹尼尔·西格尔,8.6,4.18,A/G,parenting_baby
公共建筑节能设计标准 GB 50189,国标,—,—,B,construction_materials
公务员录用考试大纲,国家公务员局,—,—,B,grad_civil_exam
公务员面试结构化教材,主流机构,—,—,B,grad_civil_exam
公司法,施天涛,—,—,B,contract_review;legal_consulting;startup_advisory
公司法学,赵旭东,—,—,B,legal_consulting
公差与配合国家标准,GB,—,—,B,machinery
公积金贷款政策解读,—,—,—,B,rent_buy_house
共同基金常识,约翰·博格,8.8,4.18,A,family_finance
关键对话,科里·帕特森 等,8.3,4.06(G),G,_管理类共用书单;mental_wellness;presentation_skills
关键链,高德拉特,—,—,B,event_planning
养牛学,—,—,—,B,agriculture
养猪学,—,—,—,B,agriculture
养老机构服务质量基本规范(国标),GB/T 35796,—,—,B,elder_care
养老金精算与替代率测算,—,—,—,B,tax_insurance
养老金融,—,—,—,B,elder_care;family_finance
兽医临床病理学,—,—,—,B,pet_care
兽医临床诊断学,—,—,—,B,agriculture
兽医学概论,—,—,—,B,agriculture
兽医药理学,—,—,—,B,agriculture
内分泌学,—,—,—,B,chronic_disease
内在动机,德西/瑞安,—,—,B,child_education
内容营销(Content Inc.),Joe Pulizzi,—,—,B,seo_growth
内容营销实务,专著,—,—,B,cross_border
内燃机学,—,—,—,B,automotive;shipbuilding_marine
内科学,人卫教材,—,—,B,chronic_disease
再生金属与循环经济,—,—,—,B,metallurgy
写作是门手艺,刘军强,—,—,B,ecommerce_ops
写作这回事(On Writing),斯蒂芬·金,8.6,4.36,A,study_abroad;writing_polish
写给大家的西方音乐史,田艺苗,8.0,—,B,music_learning
写给大家看的设计书,Robin Williams,—,—,B,presentation_skills;ui_ux_review
农业产业化经营,—,—,—,B,agriculture
农业人工智能,—,—,—,B,modern_agriculture
农业保险学,—,—,—,B,agriculture
农业品牌营销,—,—,—,B,modern_agriculture
农业圣典(An Agricultural Testament),阿尔伯特·霍华德,8.7,4.10(G),A/G,modern_agriculture
农业大数据,—,—,—,B,agriculture;modern_agriculture
农业政策学,—,—,—,B,agriculture;modern_agriculture
农业无人机应用,—,—,—,B,agriculture
农业昆虫学,—,—,—,B,agriculture
农业机械化生产学,—,—,—,B,agriculture
农业机械学,—,—,—,B,agriculture;modern_agriculture
农业概论,—,—,—,B,modern_agriculture
农业气象学,—,—,—,B,agriculture
农业物联网,—,—,—,B,agriculture
农业物联网技术与应用,—,—,—,B,modern_agriculture
农业生产经济学,—,—,—,B,agriculture
农业生态学,—,—,—,B,agriculture;modern_agriculture
农业经济学,—,—,—,B,agriculture;modern_agriculture
农业航空与植保无人机技术,—,—,—,B,modern_agriculture
农业补贴政策,—,—,—,B,agriculture
农业财政与补贴政策解读,—,—,—,B,agriculture
农业遥感,—,—,—,B,agriculture
农业项目投资与评估,—,—,—,B,agriculture
农业风险管理,—,—,—,B,agriculture
农产品价格学,—,—,—,B,agriculture
农产品市场营销学,—,—,—,B,agriculture
农产品物流与供应链管理,—,—,—,B,modern_agriculture
农产品质量安全与溯源,—,—,—,B,modern_agriculture
农场经营管理,—,—,—,B,agriculture
农学概论,—,—,—,B,agriculture
农机液压传动,—,—,—,B,modern_agriculture
农村土地承包法解读,—,—,—,B,agriculture
农村金融政策,—,—,—,B,agriculture
农村集体经济组织,—,—,—,B,agriculture
农民专业合作社法解读,—,—,—,B,agriculture
农田水利学,—,—,—,B,agriculture
农药安全使用手册,—,—,—,B,gardening
冲压工艺与模具设计,—,—,—,B,automotive
决定性瞬间(画册),布列松,—,—,B,photography
决策与判断,斯科特·普劳斯,8.6,—,A,data_analytics
决策与规划算法,—,—,—,B,automotive
决策分析与风险,专著,—,—,B,dispute_rights
冶金传感器与检测,—,—,—,B,metallurgy
冶金原理,—,—,—,B,metallurgy
冶金固废资源化,—,—,—,B,metallurgy
冶金机械设备,—,—,—,B,metallurgy
冶金节能与环保,—,—,—,B,metallurgy
冶金设备维护与故障诊断,—,—,—,B,metallurgy
冶金过程自动化,—,—,—,B,metallurgy
冷轧薄板生产,—,—,—,B,metallurgy
冷链物流技术,—,—,—,B,modern_agriculture
出口管制与制裁合规,专著,—,—,B,cross_border
分子料理技法,,—,—,B,dining_recommendation
分子筛与多孔材料,—,—,—,B,chemical_industry
分离工程,刘家祺,—,—,B,chemical_industry
分离纯化技术,—,—,—,B,pharma_biomfg
分级诊疗制度读本,—,—,—,B,health_checkup
刑法学,张明楷,—,—,B,legal_consulting
刑法学讲义(第二版),罗翔,9.0(评分人少),—,A,dispute_rights
创业维艰 The Hard Thing About Hard Things,本·霍洛维茨,8.3,4.19,G,startup_advisory
创作硬件需求(渲染/剪辑),专著,—,—,B,digital_office
创新者 The Innovators,沃尔特·艾萨克森,8.7,4.12,A,industrialization;ip_patent
创新者的窘境,克里斯坦森,—,—,B,career_transition;ecommerce_ops;generic_consulting;ip_patent;seo_growth;startup_advisory;stock_trading
创新者的窘境 The Innovator's Dilemma,克莱顿·克里斯坦森,8.4(G补),4.02,,generic_consulting
别毙了那条狗(Don't Shoot the Dog),凯伦·普莱尔,8.3,4.13(G),G,pet_care
制动系统设计,—,—,—,B,automotive
制药工程原理与设备,—,—,—,B,pharma_biomfg
刻意练习,艾利克森/普尔,7.8,—,B,career_transition;child_education;music_learning
刻意练习 Peak,安德斯·艾利克森,7.9,4.21,G,grad_civil_exam;learning_planning
剑桥插图音乐指南,斯坦利·萨迪,8.7,—,A,music_learning
剑桥雅思官方真题集(4-18),剑桥大学考试委员会,—,—,B,language_learning;learning_planning
剪映/Premiere/达芬奇 官方手册,厂商官方,—,—,B,short_video
剪辑的语法,Roy Thompson,—,—,B,short_video
力学性能试验,—,—,—,B,metallurgy
力量训练基础,马克·瑞比托,9.3,4.44,A,fitness_plan;nutrition_fitness
力量训练基础 Starting Strength,马克·瑞比托,9.3,4.44(1万人),A/G,fitness_plan;nutrition_fitness
力量训练计划,—,—,—,B,chronic_disease;fitness_plan
力量训练计划 Practical Programming,瑞比托,—,—,B,nutrition_fitness
功能安全ISO26262,—,—,—,B,automotive
功能性服装设计(防护/运动/医用),—,—,—,B,textiles
功能性食品学,—,—,—,B,food_processing
功能纤维与功能纺织品,—,—,—,B,textiles
功能高分子材料,—,—,—,B,chemical_industry
动力电池技术,—,—,—,B,automotive
动态血糖监测(CGM)解读,—,—,—,B,chronic_disease
动机式访谈,—,—,—,B,nutrition_fitness
动物生理学,—,—,—,B,agriculture
动物营养学,—,—,—,B,agriculture
动物解剖学,—,—,—,B,agriculture
动物遗传育种学,—,—,—,B,agriculture
助推,塞勒/桑斯坦,—,—,B,generic_consulting
助推 Nudge,塞勒/桑斯坦,7.5,3.85,B,gift_selection
劳动争议裁判规则与案例精解,—,—,—,B,legal_consulting
劳动合同法,王全兴,—,—,B,legal_consulting
劳动合同法实务(竞业限制),专著,—,—,B,contract_review
劳动法,林嘉,—,—,B,legal_consulting
劳动法与录用红线,—,—,—,B,resume_interview
劳动法学,郭捷,—,—,B,legal_consulting
化合物半导体器件,—,—,—,B,electronics_semiconductor
化妆品监管与广告合规科普,国家药监局,—,—,B,skincare_beauty
化妆品科学与技术(Harry's Cosmeticology),—,—,—,B,skincare_beauty
化妆品配方原理与应用,—,—,—,B,skincare_beauty
化学动力学基础,—,—,—,B,chemical_industry
化学反应工程,朱炳辰,—,—,B,chemical_industry
化学品分类和标签规范(GHS/GB30000),—,—,—,B,chemical_industry
化学工程手册,—,—,—,B,chemical_industry
化学成分分析,—,—,—,B,metallurgy
化工原理,谭天恩/陈敏恒,—,—,B,chemical_industry
化工安全工程,—,—,—,B,chemical_industry
化工流程模拟(Aspen Plus),—,—,—,B,chemical_industry
化工热力学,陈钟秀,—,—,B,chemical_industry
化工节能原理与技术,—,—,—,B,chemical_industry
化工设计,—,—,—,B,chemical_industry
化工过程分析与综合,—,—,—,B,chemical_industry
化工过程安全(CCPS),CCPS,—,—,B,chemical_industry
医学影像学,人卫教材,—,—,B,family_doctor;health_checkup
医学营养治疗(MNT),—,—,—,B,chronic_disease
医学衷中参西录,张锡纯,—,—,B,family_doctor
医生的修炼 Complications,阿图·葛文德,8.6,4.10,A,health_checkup
医美项目临床共识与操作规范,行业共识,—,—,B,skincare_beauty
千面英雄,约瑟夫·坎贝尔,—,—,B,writing_polish
半导体产业概论,—,—,—,B,electronics_semiconductor
半导体制造技术,May & Spanos,—,—,B,electronics_semiconductor
半导体器件物理,Sze,—,—,B,digital_office;electronics_semiconductor
半导体材料学,—,—,—,B,electronics_semiconductor
半导体测试基础,—,—,—,B,electronics_semiconductor
半导体硅材料学,—,—,—,B,electronics_semiconductor
半导体设备技术,—,—,—,B,electronics_semiconductor
半导体量测与缺陷检测,—,—,—,B,electronics_semiconductor
华德福教育,斯坦纳,—,—,B,child_education
卓有成效的管理者,彼得·德鲁克,—,—,B,_管理类共用书单;time_productivity
单抗与重组蛋白生产,—,—,—,B,pharma_biomfg
博弈与决策,专著,—,—,B,dispute_rights
博弈论,弗登博格(Fudenberg),8.8(732人),—,A,board_game
博弈论与经济行为,冯·诺依曼/摩根斯坦,—,—,B,board_game
博弈论基础,罗伯特·吉本斯,8.3,—,B,board_game;dispute_rights
博弈论教程,肯·宾默尔(谢识予 译),8.5,—,A,board_game
博物馆藏品管理,—,—,—,B,collectibles
卡普兰-萨多克精神病学,Kaplan & Sadock,—,—,B,family_doctor;mental_wellness
卡片笔记写作法,申克·阿伦斯,7.8,3.94,B,grad_civil_exam;learning_planning
卫生设计原理(EHEDG/3-A),—,—,—,B,food_processing
印染机械与设备,—,—,—,B,textiles
危机公关与舆情应对,专著,—,—,B,dispute_rights
危机干预策略,James & Gilliland,—,—,B,mental_wellness
危险化学品安全管理条例,—,—,—,B,chemical_industry
危险货物分类和品名编号(GB6944),—,—,—,B,chemical_industry
即兴的智慧,专著,—,—,B,debate_speech;presentation_skills
历年分数线与报录比汇编,—,—,—,B,grad_civil_exam
压力容器安全技术监察规程,—,—,—,B,chemical_industry;machinery
压力面试应对,—,—,—,B,resume_interview
压载水管理公约(BWM),IMO,—,—,B,shipbuilding_marine
原则,瑞·达利欧,—,—,B,career_transition;contract_review
原则 Principles,瑞·达利欧,8.4,4.07,G,stock_trading
原子习惯,詹姆斯·克利尔,8.8,4.36,A/G,mental_wellness;music_learning;nutrition_fitness;time_productivity
原料药工艺研究与开发,—,—,—,B,pharma_biomfg
厨房设备与器具手册,专著,—,—,B,cooking_recipe
厨房里的化学家,亚瑟,—,—,B,cooking_recipe
厨艺之钥(Keys to Good Cooking),哈洛德·马基,—,—,B,cooking_recipe
参与感,黎万强,7.5,—,B,private_domain
参数虚标与跑分作弊识别,专著,—,—,B,digital_office
双碳政策读本,—,—,—,B,industrialization
双碳目标与能源转型,—,—,—,B,energy_power
反不正当竞争法,法律出版社,—,—,B,contract_review;legal_consulting
反垄断法,法律出版社,—,—,B,contract_review
反应器设计与放大,—,—,—,B,chemical_industry
反洗钱(AML)与 KYC 合规,专著,—,—,B,cross_border
反洗钱法与反洗钱监管规定,全国人大/央行,—,—,B,tax_insurance
反脆弱,纳西姆·塔勒布,—,—,B,career_transition;generic_consulting
反脆弱 Antifragile,纳西姆·塔勒布,8.4(G补),4.13,G,generic_consulting;stock_trading
发展心理学,林崇德,—,—,B,child_education
发展心理病理学,—,—,—,B,child_education
发育与行为儿科学,专著,—,—,B,family_doctor;parenting_baby
发酵工程,—,—,—,B,food_processing;pharma_biomfg
变态心理学,劳伦·阿洛伊,—,—,B,mental_wellness
古典吉他教程,卡尔卡西,8.6,—,A,music_learning
古典风格,查尔斯·罗森,9.3,4.36(G),A/G,music_learning
古典风格:海顿、莫扎特、贝多芬,查尔斯·罗森,9.3,4.36(G),,music_learning
古玉鉴定,—,—,—,B,collectibles
古玩做旧与辨伪,—,—,—,B,collectibles
古玩行话与交易习惯,—,—,—,B,collectibles
古籍修复技艺,—,—,—,B,collectibles
古籍善本,陈先行,9.3(14人),—,A,collectibles
另类资产配置,—,—,—,B,collectibles
可持续能源——事实与真相,David MacKay,—(G补),4.43,G,energy_power
可持续能源——事实与真相 Sustainable Energy without the Hot Air,David MacKay,—(G补),4.43(1586人),,energy_power
可用性工程,Jakob Nielsen,—,—,B,product_manager;ui_ux_review
可穿戴设备与运动监测技术,—,—,—,B,nutrition_fitness
可见的学习,约翰·哈蒂,—,—,B,child_education
可视化分析与设计,Tamara Munzner,—,—,B,data_analytics
可靠性工程与失效分析,—,—,—,B,electronics_semiconductor
可靠性工程基础,—,—,—,B,aerospace;car_purchase;digital_office
史蒂夫·乔布斯传,沃尔特·艾萨克森,9.2(修订版),4.16,A,ip_patent
叶轮机械原理,—,—,—,B,aerospace
司仪主持与控场技巧,综合,—,—,B,wedding_planning
各区义务教育招生入学政策文件,各地教育局,—,—,B,learning_planning
各国外交部领事保护与安全提示,各国外交部,—,—,B,travel_deep;travel_planning
各国数据合规(GDPR/CCPA),专著,—,—,B,cross_border
各国毕业工签政策(OPT/Graduate Route/485),各国移民局,—,—,B,study_abroad
各国消费者行为差异,专著,—,—,B,cross_border
各国留学政策官方文件,各国教育/移民部门,—,—,B,study_abroad
各国签证官方指南(F-1/Student Route/500/SDS),各国使领馆,—,—,B,study_abroad
各国签证申请官方指南,各国使领馆,—,—,B,travel_planning
各国退税与汇率手续费指南,综合,—,—,B,travel_deep
各地彩礼与嫁妆习俗手册,综合,—,—,B,wedding_planning
合作的进化,罗伯特·艾克斯罗德,—,—,B,board_game
合同效力专题研究,专著,—,—,B,contract_review
合同效力研究,专著,—,—,B,contract_review
合同法,崔建远,—,—,B,contract_review;legal_consulting
合同法上的违约损害赔偿,专著,—,—,B,contract_review
合同法分则研究,崔建远,—,—,B,contract_review
合同法学,王利明,—,—,B,legal_consulting
合同法实务,—,—,—,B,startup_advisory
合同法总论,韩世远,—,—,B,contract_review;legal_consulting
合同法研究,王利明,8.6,—,A,legal_consulting
合同违约救济比较法研究,专著,—,—,B,contract_review
合成生物学导论,—,—,—,B,pharma_biomfg
合金钢,—,—,—,B,metallurgy
吉他构造与选购指南,—,—,—,B,music_learning
听肌肤的话,冰寒,—,—,B,skincare_beauty
启示录:打造用户喜爱的产品,Marty Cagan,8.5(8982人),—,A,product_manager
吴阶平泌尿外科学,吴阶平,—,—,B,family_doctor
周围神经病变,—,—,—,B,chronic_disease
周期化力量训练理论,Bompa,—,—,B,nutrition_fitness
周期化训练理论,Tudor Bompa,—,—,B,fitness_plan
和二木一起玩多肉,二木,"8.1(1081人,边缘)",—,B,gardening
和声学教程,斯波索宾,—,—,B,music_learning
和解协议实务,专著,—,—,B,dispute_rights
咖啡因(Caffeine),Michael Pollan,—,3.80,B,sleep_health
品牌农业,—,—,—,B,agriculture
品牌战略管理,—,—,—,B,agriculture
品牌的起源,艾·里斯,—,—,B,cross_border
哈农钢琴练指法,哈农,—,—,B,music_learning
哈里森内科学原理,Harrison's,—,—,B,chronic_disease;family_doctor;health_checkup
唱片中的西方音乐史,杨燕迪 等,8.6,—,A,music_learning
商业养老年金与万能险产品资料,各公司,—,—,B,tax_insurance
商业模式新生代,亚历山大·奥斯特瓦德,8.4,—,B,data_analytics;startup_advisory
商业模式新生代 Business Model Generation,奥斯特瓦德,—,4.21,,startup_advisory
商业秘密法律保护实务,专著,—,—,B,contract_review
商业车险示范条款解读,—,—,—,B,car_purchase
商务礼仪规范,,—,—,B,dining_recommendation
商务礼仪规范读本,—,—,—,B,gift_selection
商标审查审理指南,—,—,—,B,ip_patent
商标法,黄晖,—,—,B,legal_consulting
商标法理论与实务,专著,—,—,B,contract_review
商标驳回复审与异议实务,—,—,—,B,ip_patent
四大金刚选聘与合同手册,综合,—,—,B,wedding_planning
四季养花实用宝典,蒋青海,—,—,B,gardening
四季色彩理论,Color Me Beautiful 体系,—,—,B,fashion_styling
因子投资,石川 等,—,—,B,stock_trading
团队破冰活动手册,—,—,—,B,board_game
园丁与木匠,高普尼克,8.3,—,B,child_education;parenting_baby
园林植物栽培学,教材,—,—,B,gardening
园林植物病虫害防治,—,—,—,B,gardening
园林设计,—,—,—,B,gardening
园艺植物栽培学,—,—,—,B,gardening
围棋入门,—,—,—,B,board_game
围棋八大课题,聂卫平,9.3,—,A,board_game
围棋官子辞典,—,—,—,B,board_game
围棋定式大辞典,—,—,—,B,board_game
围棋手筋辞典,—,—,—,B,board_game
围棋死活辞典,—,—,—,B,board_game
固体火箭发动机原理,—,—,—,B,aerospace
固定床反应器,—,—,—,B,chemical_industry
国宝沉浮录,杨仁恺,8.7(32人),—,A,collectibles
国家为什么会失败,阿西莫格鲁,8.4,4.06,G,industrialization
国家地理人文摄影指南,国家地理,—,—,B,travel_deep
国家统一法律职业资格考试官方教材,司法部,—,—,B,learning_planning
国富论,亚当·斯密,9.0(12020人),3.94,A,cross_border;industrialization
国标麻将竞赛规则,—,—,—,B,board_game
国考/省考历年招录公告,各省人事考试网,—,—,B,grad_civil_exam
国际商事仲裁,Gary Born,—,—,B,contract_review
国际商法,专业教材,—,—,B,cross_border
国际物流与货运代理实务,专著,—,—,B,cross_border
国际私法,韩德培,—,—,B,contract_review
国际结算,苏宗祥,—,—,B,cross_border
国际象棋入门,—,—,—,B,board_game
国际象棋规则(FIDE),FIDE,—,—,B,board_game
国际贸易实务,黎孝先,—,—,B,cross_border
国际贸易法,专业教材,—,—,B,cross_border
国际贸易理论与政策,克鲁格曼,—,—,B,cross_border
国际贸易融资,专著,—,—,B,cross_border
国际跳棋规则(FMJD),FMJD,—,—,B,board_game
圆圈正义,罗翔,8.1,—,B,dispute_rights
土地复垦与生态修复,—,—,—,B,mining_extraction
土地流转实务,—,—,—,B,agriculture
土地管理法解读,—,—,—,B,agriculture
土地经济学,—,—,—,B,modern_agriculture
土壤学,黄昌勇,—,—,B,agriculture;gardening;modern_agriculture
土壤的救赎(The Soil Will Save Us),克莉斯汀·奥森森,—,3.91,B,modern_agriculture
土壤肥料学,—,—,—,B,agriculture
土木工程施工,同济,—,—,B,construction_materials
土木工程材料,湖南大学,—,—,B,construction_materials
土木工程概论,高教教材,—,—,B,construction_materials
在路上,杰克·凯鲁亚克,—,—,B,travel_deep;travel_planning
地下开采,—,—,—,B,mining_extraction
地方饮食志(各省),,—,—,B,dining_recommendation
地球化学勘探,—,—,—,B,mining_extraction
地球物理勘探,—,—,—,B,mining_extraction
地质学基础,—,—,—,B,mining_extraction
坂田荣男围棋全集,坂田荣男,—,—,B,board_game
坎贝尔骨科手术学,Campbell's,—,—,B,family_doctor
坚毅,安杰拉·达克沃斯,—,—,B,career_transition
坚毅 Grit,安杰拉·达克沃思,7.2,4.06,G,grad_civil_exam;language_learning;learning_planning;time_productivity
城市规划原理,—,—,—,B,rent_buy_house
域控制器开发,—,—,—,B,automotive
基因传:众生之源,悉达多·穆克吉,8.8,—,A,pharma_biomfg
基本乐理,李重光,—,—,B,music_learning
基础有机化学,邢其毅,—,—,B,chemical_industry
墙体材料应用统一技术规范 GB 50574,国标,—,—,B,construction_materials
增材制造技术,—,—,—,B,aerospace;machinery
增材制造金属材料,—,—,—,B,aerospace
增长五线,王赛,—,—,B,seo_growth
增长黑客,肖恩·埃利斯,8.2,—,B,data_analytics;ecommerce_ops;private_domain;product_manager;seo_growth;short_video;startup_advisory
处方审核与药学服务,—,—,—,B,chronic_disease
复合材料结构力学,—,—,—,B,aerospace
复杂,梅拉妮·米歇尔,8.8,4.10,A,data_analytics
外汇风险管理,专著,—,—,B,cross_border
外科学,人卫教材,—,—,B,family_doctor
多体动力学,—,—,—,B,automotive
多导睡眠图(PSG)判读手册,—,—,—,B,sleep_health
多相催化基础,—,—,—,B,chemical_industry
多相反应工程,—,—,—,B,chemical_industry
大促节奏与活动运营,专著,—,—,B,ecommerce_ops
大国的兴衰,保罗·肯尼迪,8.5,4.02,A,industrialization
大学的终结,凯文·凯里,—,—,B,study_abroad
大数据之路,阿里巴巴,—,—,B,data_analytics
大气污染控制工程,—,—,—,B,chemical_industry
大灭绝时代(第六次大灭绝),伊丽莎白·科尔伯特,8.6,4.18(G),A/G,mining_extraction
大空头,迈克尔·刘易斯,8.4,—,B,rent_buy_house
大额保单与财富传承,—,—,—,B,tax_insurance
太阳能光伏发电技术,—,—,—,B,energy_power
失控,凯文·凯利,8.6,4.07,A,generic_consulting
失控 Out of Control,凯文·凯利,8.6,4.07,,generic_consulting
失效分析,—,—,—,B,machinery
失效分析与质量控制,专著,—,—,B,digital_office
失智症照护指南,—,—,—,B,elder_care
失眠的认知行为治疗 CBT-I 手册,—,—,—,B,mental_wellness
失眠的认知行为治疗(CBT-I),Perlis 等,—,—,B,sleep_health
奇特的一生,格拉宁(柳比歇夫时间统计法),8.5(1709人),—,A,time_productivity
奈特人体解剖学彩色图谱,Netter,—,—,B,family_doctor
女性独行/LGBT 旅行安全指南,综合,—,—,B,travel_planning
好妈妈胜过好老师,尹建莉,8.6,—,A,child_education
"好战略,坏战略",理查德·鲁梅尔特,8.5,4.10,A,generic_consulting;product_manager
"好战略,坏战略 Good Strategy Bad Strategy",理查德·鲁梅尔特,8.5,4.10,,generic_consulting
如何聆听音乐 What to Listen for,艾伦·科普兰,8.6,4.04,A/G,music_learning
如何聆听音乐(What to Listen for in Music),艾伦·科普兰,8.6,4.04(G),,music_learning
如何说孩子才会听,阿黛尔·法伯,8.7,4.21,A/G,parenting_baby
如何说孩子才肯学,法伯/玛兹丽施,8.7,—,A,child_education
如何阅读一本书,莫提默·艾德勒,8.5,4.06,A,generic_consulting;grad_civil_exam;learning_planning
如何阅读一本书 How to Read a Book,莫提默·艾德勒,8.5,4.06,,generic_consulting
如何高效学习,斯科特·扬,—,—,B,career_transition
妇产科学,谢幸 主编,—,—,B,family_doctor
妇科内分泌学,专著,—,—,B,family_doctor
姿势评估与纠正训练 NASM-CES,NASM,—,—,B,nutrition_fitness
威廉姆斯产科学,Williams Obstetrics,—,—,B,family_doctor
威廉姆斯内分泌学,Williams,—,—,B,family_doctor
婚姻家庭继承法,夏吟兰,—,—,B,legal_consulting
婚宴档期与旺季避坑手册,综合,—,—,B,wedding_planning
婚礼摄影摄像实战手册,综合,—,—,B,wedding_planning
婚礼现场流程与时间线模板手册,综合,—,—,B,wedding_planning
婚礼策划与统筹实务,婚庆行业培训教材,—,—,B,wedding_planning
婚礼预算分项模板,综合,—,—,B,wedding_planning
婴幼儿及其照护者,冈萨雷斯-米纳 等,9.0,—,A,child_education
婴幼儿喂养与营养指南,中国营养学会,—,—,B,parenting_baby
婴幼儿喂养指南,中国营养学会,—,—,B,child_education
婴幼儿睡眠圣经(Healthy Sleep Habits),马克·维斯布朗,8.2,3.95,B,parenting_baby
子弹笔记术,瑞德·卡罗尔,—,—,B,time_productivity
孕产妇与婴幼儿营养,,—,—,B,dining_recommendation
字体设计原理,综合,—,—,B,ui_ux_review
字画作伪揭秘,—,—,—,B,collectibles
存储技术原理,专著,—,—,B,digital_office
孤独星球 Lonely Planet 系列,Lonely Planet,—,—,B,travel_deep;travel_planning
学习之道,芭芭拉·奥克利,7.8,—,B,career_transition
学习之道 A Mind for Numbers,芭芭拉·奥克利,8.3,4.16,G,grad_civil_exam;language_learning;learning_planning
学习科学与教学设计,—,—,—,B,child_education
学习科学手册,R. Keith Sawyer 编,—,—,B,learning_planning
学会提问,尼尔·布朗,8.4,4.07,G,generic_consulting;writing_polish
学会提问 Asking the Right Questions,尼尔·布朗,8.4(G补),4.07,,generic_consulting
学前教育学,—,—,—,B,child_education
学术写作与论文规范(APA/GB7714),综合,—,—,B,writing_polish
"孩子,把你的手给我",海姆·吉诺特,8.9,—,A,child_education
宇宙(Cosmos),卡尔·萨根,9.3,—,A,aerospace
安德鲁斯临床皮肤病学,Andrews',—,—,B,skincare_beauty
完美的合同(合同审查实务),吴江水,—,—,B,contract_review
定价制胜,赫尔曼·西蒙,—,3.84,B,gift_selection
定价心理学,—,—,—,B,purchase_decision
定价策略与心理账户,专著,—,—,B,digital_office;ecommerce_ops
定价管理,Thomas Nagle,—,—,B,digital_office
定位,里斯/特劳特,8.5,—,A,agriculture;ecommerce_ops;private_domain;product_manager;seo_growth;short_video
定位 Positioning,特劳特/里斯,8.2,4.04,G,startup_advisory
实时操作系统,—,—,—,B,automotive
实用供热空调设计手册,陆耀庆,—,—,B,construction_materials
实用儿科营养,—,—,—,B,child_education
实用内科学,陈灏珠/林果为,—,—,B,chronic_disease;family_doctor
实用妇产科学,专著,—,—,B,family_doctor
实用急诊医学,专著,—,—,B,family_doctor
实用新生儿学,邵肖梅 等,—,—,B,family_doctor;parenting_baby
实用骨科学,胥少汀,—,—,B,family_doctor
宠物全生命周期成本测算,—,—,—,B,pet_care
宠物医疗保险产品对比手册,—,—,—,B,pet_care
宠物用品选购指南,—,—,—,B,pet_care
宠物皮肤护理与洗护工艺,—,—,—,B,pet_care
宠物美容师职业资格教程,—,—,—,B,pet_care
宠物食品营养学,—,—,—,B,pet_care
宠物食品配方与工艺,—,—,—,B,pet_care
客户服务危机话术手册,专著,—,—,B,dispute_rights
室内乐曲目指南,—,—,—,B,music_learning
室内照明设计手册,—,—,—,B,home_renovation
室内绿植完整手册,—,6.7,—,B,gardening
室内装饰材料手册,—,—,—,B,home_renovation
室内设计资料集,张绮曼,—,—,B,home_renovation
宴会与餐饮服务,—,—,—,B,event_planning
宴会场地选址与考察清单,综合,—,—,B,wedding_planning
家事诉讼实务,—,—,—,B,legal_consulting
家庭保险配置实务,—,—,—,B,family_finance
家庭健身器械选购实务,—,—,—,B,fitness_plan
家庭养宠适配评估手册,—,—,—,B,pet_care
家庭农场管理,—,—,—,B,agriculture
家庭厨房动线设计,专著,—,—,B,cooking_recipe
家庭园艺病虫害诊治图谱,—,—,—,B,gardening
家庭居室装饰装修工程施工合同(住建部示范文本),—,—,—,B,home_renovation
家庭急救手册,红十字会,—,—,B,elder_care
家庭治疗技术,Minuchin,—,—,B,mental_wellness
家庭系统治疗(米纽庆),米纽庆,—,—,B,child_education
家庭血压监测指南,—,—,—,B,chronic_disease
家庭装修预算管理读本,—,—,—,B,home_renovation
家庭财务规划与外汇管理基础,—,—,—,B,study_abroad
家庭财务规划实务,—,—,—,B,elder_care;family_finance
家庭资产配置与保费占比方法,—,—,—,B,insurance_planning
家族信托实务,—,—,—,B,tax_insurance
家族办公室与财富传承,高净值实务专著,—,—,B,tax_insurance
家用健身器械选购手册,—,—,—,B,nutrition_fitness
家畜环境卫生学,—,—,—,B,agriculture
家畜繁殖学,—,—,—,B,agriculture
家畜饲养学,—,—,—,B,agriculture
家的要素,主妇之友社,—,—,B,home_organize;home_renovation
家禽生产学,—,—,—,B,agriculture
宽禁带半导体器件,—,—,—,B,energy_power
宾客名单与席位编排实务,综合,—,—,B,wedding_planning
宾客签到与动线体验设计,综合,—,—,B,wedding_planning
寂静的春天,蕾切尔·卡森,9.0,—,A,agriculture;mining_extraction;modern_agriculture
