书名,作者,归属场景
商业车险示范条款解读,—,car_purchase
商务礼仪规范,专著,dining_recommendation
商务礼仪规范读本,—,gift_selection
商标审查审理指南,—,ip_patent
商标法,黄晖,legal_consulting
商标法理论与实务,专著,contract_review
商标驳回复审与异议实务,—,ip_patent
四大金刚选聘与合同手册,综合,wedding_planning
四季养花实用宝典,蒋青海,gardening
四季色彩理论,Color Me Beautiful 体系,fashion_styling
因子投资,石川 等,stock_trading
团队破冰活动手册,—,board_game
园丁与木匠,高普尼克,child_education;parenting_baby
园林植物栽培学,教材,gardening
园林植物病虫害防治,—,gardening
园林设计,—,gardening
园艺植物栽培学,—,gardening
围棋入门,—,board_game
围棋八大课题,聂卫平,board_game
围棋官子辞典,—,board_game
围棋定式大辞典,—,board_game
围棋手筋辞典,—,board_game
围棋死活辞典,—,board_game
固体火箭发动机原理,—,aerospace
固定床反应器,—,chemical_industry
国宝沉浮录,杨仁恺,collectibles
国家为什么会失败,阿西莫格鲁,industrialization
国家地理人文摄影指南,国家地理,travel_deep
国家统一法律职业资格考试官方教材,司法部,learning_planning
国标麻将竞赛规则,—,board_game
国考/省考历年招录公告,各省人事考试网,grad_civil_exam
国际商事仲裁,Gary Born,contract_review
国际商法,专业教材,cross_border
国际物流与货运代理实务,专著,cross_border
国际私法,韩德培,contract_review
国际结算,苏宗祥,cross_border
国际象棋入门,—,board_game
国际象棋规则(FIDE),FIDE,board_game
国际贸易实务,黎孝先,cross_border
国际贸易法,专业教材,cross_border
国际贸易理论与政策,克鲁格曼,cross_border
国际贸易融资,专著,cross_border
国际跳棋规则(FMJD),FMJD,board_game
圆圈正义,罗翔,dispute_rights
土地复垦与生态修复,—,mining_extraction
土地流转实务,—,agriculture
土地管理法解读,—,agriculture
土地经济学,—,modern_agriculture
土壤学,黄昌勇,agriculture;gardening;modern_agriculture
土壤的救赎(The Soil Will Save Us),克莉斯汀·奥森森,modern_agriculture
土壤肥料学,—,agriculture
土木工程施工,同济,construction_materials
土木工程材料,湖南大学,construction_materials
土木工程概论,高教教材,construction_materials
在路上,杰克·凯鲁亚克,travel_deep;travel_planning
地下开采,—,mining_extraction
地方饮食志(各省),地方志,dining_recommendation
地球化学勘探,—,mining_extraction
地球物理勘探,—,mining_extraction
地质学基础,—,mining_extraction
坂田荣男围棋全集,坂田荣男,board_game
坎贝尔骨科手术学,Campbell's,family_doctor
坚毅,安杰拉·达克沃斯,career_transition
坚毅 Grit,安杰拉·达克沃思,grad_civil_exam;language_learning;learning_planning;time_productivity
城市规划原理,—,rent_buy_house
域控制器开发,—,automotive
基因传:众生之源,悉达多·穆克吉,pharma_biomfg
基本乐理,李重光,music_learning
基础有机化学,邢其毅,chemical_industry
墙体材料应用统一技术规范 GB 50574,国标,construction_materials
增材制造技术,—,aerospace;machinery
增材制造金属材料,—,aerospace
增长五线,王赛,seo_growth
增长黑客,肖恩·埃利斯,data_analytics;ecommerce_ops;private_domain;product_manager;seo_growth;short_video;startup_advisory
处方审核与药学服务,—,chronic_disease
复合材料结构力学,—,aerospace
复杂,梅拉妮·米歇尔,data_analytics
外汇风险管理,专著,cross_border
外科学,人卫教材,family_doctor
多体动力学,—,automotive
多导睡眠图(PSG)判读手册,—,sleep_health
多相催化基础,—,chemical_industry
多相反应工程,—,chemical_industry
大促节奏与活动运营,专著,ecommerce_ops
大国的兴衰,保罗·肯尼迪,industrialization
大学的终结,凯文·凯里,study_abroad
大数据之路,阿里巴巴,data_analytics
大气污染控制工程,—,chemical_industry
大灭绝时代(第六次大灭绝),伊丽莎白·科尔伯特,mining_extraction
大空头,迈克尔·刘易斯,rent_buy_house
大额保单与财富传承,—,tax_insurance
太阳能光伏发电技术,—,energy_power
失控,凯文·凯利,generic_consulting
失控 Out of Control,凯文·凯利,generic_consulting
失效分析,—,machinery
失效分析与质量控制,专著,digital_office
失智症照护指南,—,elder_care
失眠的认知行为治疗 CBT-I 手册,—,mental_wellness
失眠的认知行为治疗(CBT-I),Perlis 等,sleep_health
奇特的一生,格拉宁(柳比歇夫时间统计法),time_productivity
奈特人体解剖学彩色图谱,Netter,family_doctor
女性独行/LGBT 旅行安全指南,综合,travel_planning
好妈妈胜过好老师,尹建莉,child_education
"好战略,坏战略",理查德·鲁梅尔特,generic_consulting;product_manager
"好战略,坏战略 Good Strategy Bad Strategy",理查德·鲁梅尔特,generic_consulting
如何聆听音乐 What to Listen for,艾伦·科普兰,music_learning
如何聆听音乐(What to Listen for in Music),艾伦·科普兰,music_learning
如何说孩子才会听,阿黛尔·法伯,parenting_baby
如何说孩子才肯学,法伯/玛兹丽施,child_education
如何阅读一本书,莫提默·艾德勒,generic_consulting;grad_civil_exam;learning_planning
如何阅读一本书 How to Read a Book,莫提默·艾德勒,generic_consulting
如何高效学习,斯科特·扬,career_transition
妇产科学,谢幸 主编,family_doctor
妇科内分泌学,专著,family_doctor
姿势评估与纠正训练 NASM-CES,NASM,nutrition_fitness
威廉姆斯产科学,Williams Obstetrics,family_doctor
威廉姆斯内分泌学,Williams,family_doctor
婚姻家庭继承法,夏吟兰,legal_consulting
婚宴档期与旺季避坑手册,综合,wedding_planning
婚礼摄影摄像实战手册,综合,wedding_planning
婚礼现场流程与时间线模板手册,综合,wedding_planning
婚礼策划与统筹实务,婚庆行业培训教材,wedding_planning
婚礼预算分项模板,综合,wedding_planning
婴幼儿及其照护者,冈萨雷斯-米纳 等,child_education
婴幼儿喂养与营养指南,中国营养学会,parenting_baby
婴幼儿喂养指南,中国营养学会,child_education
婴幼儿睡眠圣经(Healthy Sleep Habits),马克·维斯布朗,parenting_baby
子弹笔记术,瑞德·卡罗尔,time_productivity
孕产妇与婴幼儿营养,专著,dining_recommendation
字体设计原理,综合,ui_ux_review
字画作伪揭秘,—,collectibles
存储技术原理,专著,digital_office
孤独星球 Lonely Planet 系列,Lonely Planet,travel_deep;travel_planning
学习之道,芭芭拉·奥克利,career_transition
学习之道 A Mind for Numbers,芭芭拉·奥克利,grad_civil_exam;language_learning;learning_planning
学习科学与教学设计,—,child_education
学习科学手册,R. Keith Sawyer 编,learning_planning
学会提问,尼尔·布朗,generic_consulting;writing_polish
学会提问 Asking the Right Questions,尼尔·布朗,generic_consulting
学前教育学,—,child_education
学术写作与论文规范(APA/GB7714),综合,writing_polish
"孩子,把你的手给我",海姆·吉诺特,child_education
宇宙(Cosmos),卡尔·萨根,aerospace
安德鲁斯临床皮肤病学,Andrews',skincare_beauty
完美的合同(合同审查实务),吴江水,contract_review
定价制胜,赫尔曼·西蒙,gift_selection
定价心理学,—,purchase_decision
定价策略与心理账户,专著,digital_office;ecommerce_ops
定价管理,Thomas Nagle,digital_office
定位,里斯/特劳特,agriculture;ecommerce_ops;private_domain;product_manager;seo_growth;short_video
定位 Positioning,特劳特/里斯,startup_advisory
实时操作系统,—,automotive
实用供热空调设计手册,陆耀庆,construction_materials
实用儿科营养,—,child_education
实用内科学,陈灏珠/林果为,chronic_disease;family_doctor
实用妇产科学,专著,family_doctor
实用急诊医学,专著,family_doctor
实用新生儿学,邵肖梅 等,family_doctor;parenting_baby
实用骨科学,胥少汀,family_doctor
宠物全生命周期成本测算,—,pet_care
宠物医疗保险产品对比手册,—,pet_care
宠物用品选购指南,—,pet_care
宠物皮肤护理与洗护工艺,—,pet_care
宠物美容师职业资格教程,—,pet_care
宠物食品营养学,—,pet_care
宠物食品配方与工艺,—,pet_care
客户服务危机话术手册,专著,dispute_rights
室内乐曲目指南,—,music_learning
室内照明设计手册,—,home_renovation
室内绿植完整手册,—,gardening
室内装饰材料手册,—,home_renovation
室内设计资料集,张绮曼,home_renovation
宴会与餐饮服务,—,event_planning
宴会场地选址与考察清单,综合,wedding_planning
家事诉讼实务,—,legal_consulting
家庭保险配置实务,—,family_finance
家庭健身器械选购实务,—,fitness_plan
家庭养宠适配评估手册,—,pet_care
家庭农场管理,—,agriculture
家庭厨房动线设计,专著,cooking_recipe
家庭园艺病虫害诊治图谱,—,gardening
家庭居室装饰装修工程施工合同(住建部示范文本),—,home_renovation
家庭急救手册,红十字会,elder_care
家庭治疗技术,Minuchin,mental_wellness
家庭系统治疗(米纽庆),米纽庆,child_education
家庭血压监测指南,—,chronic_disease
家庭装修预算管理读本,—,home_renovation
家庭财务规划与外汇管理基础,—,study_abroad
家庭财务规划实务,—,elder_care;family_finance
家庭资产配置与保费占比方法,—,insurance_planning
家族信托实务,—,tax_insurance
家族办公室与财富传承,高净值实务专著,tax_insurance
家用健身器械选购手册,—,nutrition_fitness
家畜环境卫生学,—,agriculture
家畜繁殖学,—,agriculture
家畜饲养学,—,agriculture
家的要素,主妇之友社,home_organize;home_renovation
家禽生产学,—,agriculture
宽禁带半导体器件,—,energy_power
宾客名单与席位编排实务,综合,wedding_planning
宾客签到与动线体验设计,综合,wedding_planning
寂静的春天,蕾切尔·卡森,agriculture;mining_extraction;modern_agriculture
富爸爸穷爸爸,罗伯特·清崎,career_transition;family_finance;purchase_decision;tax_insurance
富爸爸穷爸爸 Rich Dad Poor Dad,罗伯特·清崎,tax_insurance
对位法,福克斯,music_learning
对白,罗伯特·麦基,short_video
对话,罗伯特·麦基,writing_polish
寻味顺德,专著,dining_recommendation
寻路中国,彼得·海斯勒(何伟),travel_deep;travel_planning
导航系统原理,—,aerospace
寿险精算与产品定价基础,—,tax_insurance
小动物临床营养学,Hand,pet_care
小动物内科学,Nelson & Couto,pet_care
小动物外科学,Fossum,pet_care
小家越住越大,逯薇,home_organize;home_renovation
小户型空间利用与收纳设计图鉴,—,home_organize
小狗钱钱,博多·舍费尔,career_transition;family_finance;insurance_planning;purchase_decision;rent_buy_house;study_abroad;tax_insurance;wedding_planning
少有人走的路,M·斯科特·派克,mental_wellness
就业、利息和货币通论,凯恩斯,industrialization
尼尔森儿科学,Nelson,family_doctor;parenting_baby
尾矿处理与综合利用,—,mining_extraction
尾矿库设计与安全,—,mining_extraction
居家养老服务规范,—,elder_care
居家安全隐患排查清单,—,parenting_baby
山家清供,[宋] 林洪,cooking_recipe
岁时节日里的中国,专著,dining_recommendation
岗位胜任力模型,—,resume_interview
岩石力学与工程,—,mining_extraction
峰值体验,—,event_planning
崔玉涛图解家庭育儿,崔玉涛,parenting_baby
嵌入式系统设计,—,automotive
川菜烹饪事典,专著,cooking_recipe
工业4.0(德国国家平台),—,industrialization
工业互联网与MES系统实践,—,industrialization
工业催化,黄仲涛,chemical_industry
工业化与经济发展,钱纳里 等,industrialization
工业工程基础,—,automotive
工业废水处理,—,chemical_industry
工业机器人技术,—,machinery
工伤保险条例理解与适用,—,legal_consulting
工具论,亚里士多德,debate_speech
工程建设标准强制性条文,住建部,construction_materials
工程建设项目招标投标管理办法,部委,construction_materials
工程材料及成形技术基础,—,machinery
工程热力学,—,aerospace;energy_power
工程经济学,高校教材,construction_materials
工程项目管理,成虎,construction_materials
巴比伦最富有的人 The Richest Man in Babylon,乔治·克拉森,insurance_planning
巴菲特致股东的信,沃伦·巴菲特,family_finance;stock_trading
巴赫初级钢琴曲集,巴赫,music_learning
市场监管投诉举报处理办法解读,专著,dispute_rights
市场营销学,科特勒,agriculture
布光教科书(人像/产品),—,photography
希氏内科学(Goldman-Cecil),Cecil,family_doctor;health_checkup
平台推荐机制与流量分发说明,平台官方,short_video
平台规则与商家责任,专著,dispute_rights
平台账号安全与风控,专著,cross_border
并购重组法律实务,—,legal_consulting
幸福的婚姻,约翰·戈特曼,wedding_planning
床垫/枕头人体工学专著,—,sleep_health
库存管理,—,automotive
库存管理与需求预测,专著,ecommerce_ops
应用线性回归,专著,data_analytics
底盘调校与操控感解读,—,car_purchase
康复医学,—,chronic_disease
建筑:形式·空间和秩序,程大锦,home_renovation
建筑地基基础设计规范 GB 50007,国标,construction_materials
建筑工程施工质量评价标准 GB/T 50375,国标,construction_materials
建筑工程施工质量验收统一标准 GB 50300,国标,construction_materials
建筑工程概预算与清单计价规范,—,home_renovation
建筑工程绿色施工规范 GB/T 50905,国标,construction_materials
建筑抗震设计规范 GB 50011,国标,construction_materials
建筑施工手册(第五版),专著,construction_materials
建筑施工技术,高校教材,construction_materials
建筑施工组织设计,专著,construction_materials
建筑材料,高教教材,construction_materials;home_renovation
建筑模式语言 A Pattern Language,克里斯托弗·亚历山大,home_organize;home_renovation
建筑法,全国人大,construction_materials
建筑电气与给排水工艺标准图集,—,home_renovation
建筑碳排放计算标准 GB/T 51366,国标,construction_materials
建筑结构可靠度设计统一标准 GB 50068,国标,construction_materials
建筑结构荷载规范 GB 50009,国标,construction_materials
建筑结构静力计算手册,专著,construction_materials
建筑给水排水及采暖工程施工质量验收规范 GB 50242,国标,construction_materials
建筑给水排水设计标准 GB 50015,国标,construction_materials
建筑节能与可再生能源利用通用规范 GB 55015,国标,construction_materials
建筑设计防火规范 GB 50016,国标,construction_materials
建筑识图与质量验收,—,rent_buy_house
建设工程安全生产管理条例,国务院,construction_materials
建设工程法规,高校教材,construction_materials
建设工程监理规范 GB/T 50319,国标,construction_materials
建设工程质量管理条例,国务院,construction_materials
建设工程项目管理规范 GB/T 50326,国标,construction_materials
引导:团队群策群力的实践指南,Sam Kaner,board_game
引爆点,马尔科姆·格拉德威尔,event_planning;gift_selection
引爆用户增长,杨瀚清,private_domain
张宇高等数学十八讲,张宇,learning_planning
弹指之间(民谣吉他),潘尚文,music_learning
强制执行法实务,—,legal_consulting
强化学习,—,automotive
当下的力量,埃克哈特·托利,mental_wellness
当众讲话,戴尔·卡耐基,debate_speech
当呼吸化为空气,保罗·卡拉尼什,elder_care
当呼吸化为空气 When Breath Becomes Air,保罗·卡拉尼什,elder_care
当尼采哭泣,欧文·亚隆,mental_wellness
录音录像证据合法性研究,专著,dispute_rights
形式逻辑,金岳霖,debate_speech
影响力,罗伯特·西奥迪尼,_管理类共用书单;agriculture;construction_materials;dispute_rights;ecommerce_ops;generic_consulting;gift_selection;home_renovation;presentation_skills;private_domain;product_manager;purchase_decision;rent_buy_house;resume_interview;seo_growth;short_video;skincare_beauty;startup_advisory
影响力 Influence,罗伯特·西奥迪尼,generic_consulting
彼得·林奇的成功投资 One Up On Wall Street,彼得·林奇,stock_trading
徐涛考研政治核心考案,徐涛,grad_civil_exam;learning_planning
微习惯,斯蒂芬·盖斯,home_organize;language_learning;time_productivity
微交互,Dan Saffer,ui_ux_review
微电子制造科学原理与工程技术,Campbell,electronics_semiconductor
微电子学基础,Behzad Razavi,electronics_semiconductor
微电子学基础 Fundamentals of Microelectronics,Behzad Razavi,electronics_semiconductor
微电子封装手册,—,electronics_semiconductor
心流,米哈里,child_education;mental_wellness;music_learning
心流 Flow,米哈里·契克森米哈赖,grad_civil_exam;language_learning
心理咨询与治疗的理论及实践,Corey,mental_wellness
心理学与生活(第20版),格里格/津巴多,child_education;mental_wellness
心理治疗中的依恋,Wallin,mental_wellness
心肺复苏(CPR/AED)指南,AHA,elder_care
心脏康复指南,—,chronic_disease
心脏康复运动处方,—,nutrition_fitness
心脑血管并发症预防,—,chronic_disease
心血管病学,—,chronic_disease
必然,凯文·凯利,generic_consulting
忧郁的热带,列维-斯特劳斯,travel_deep;travel_planning
怎样写作,叶圣陶,writing_polish
怎样解题,G·波利亚,construction_materials
怎样选择成长股,菲利普·费雪,stock_trading
怎样选择成长股 Common Stocks and Uncommon Profits,菲利普·费雪,stock_trading
"思考,快与慢",丹尼尔·卡尼曼,_管理类共用书单;career_transition;contract_review;data_analytics;digital_office;dining_recommendation;dispute_rights;ecommerce_ops;family_finance;generic_consulting;presentation_skills
"思考,快与慢 Thinking, Fast and Slow",丹尼尔·卡尼曼,generic_consulting;gift_selection
急性并发症处理(酮症/低血糖),—,chronic_disease
怦然心动的人生整理魔法,近藤麻理惠,fashion_styling;home_organize;purchase_decision
怪诞行为学,丹·艾瑞里,generic_consulting;purchase_decision
怪诞行为学 Predictably Irrational,丹·艾瑞里,generic_consulting;gift_selection
总装工艺,—,automotive
情感化设计,唐纳德·诺曼,ui_ux_review
情绪急救,盖伊·温奇,mental_wellness
情绪聚焦疗法导论,Greenberg,mental_wellness
惩罚性赔偿制度研究,专著,dispute_rights
意定监护与居住权制度解读,—,elder_care
感觉统合训练手册,—,parenting_baby
慢性肾脏病诊疗指南,—,chronic_disease
慢病人群运动康复,—,chronic_disease
慢病红旗征识别手册,—,chronic_disease
慢病自我管理,—,chronic_disease
慢病长期用药管理,—,chronic_disease
慢阻肺(COPD)诊治指南,—,chronic_disease
成人糖尿病食养指南,—,chronic_disease
成分平替逻辑手册,—,skincare_beauty
成分护肤,西一总/白野实,skincare_beauty
成本会计,—,agriculture
我们为什么要睡觉,马修·沃克,health_checkup;mental_wellness;sleep_health
我们内心的冲突,卡伦·霍妮,mental_wellness
我决定简单地生活,佐佐木典士,home_organize
我教你变富 I Will Teach You to Be Rich,拉米特·塞西,insurance_planning
战略历程,明茨伯格,generic_consulting
户型与朝向采光分析,—,rent_buy_house
房地产估价,—,rent_buy_house
房地产周期与政策,—,rent_buy_house
房屋买卖合同纠纷裁判规则,—,rent_buy_house
房贷与消费信贷指南,—,family_finance
房贷计算与还款方式,—,rent_buy_house
所罗门王的指环,康拉德·劳伦兹,pet_care
手把手教你读财报,唐朝,stock_trading
托福词汇红宝书,俞敏洪,language_learning;learning_planning
扩展与版本对比指南,—,board_game
批判性思维,摩尔/帕克,debate_speech;generic_consulting
批评官员的尺度,安东尼·刘易斯,legal_consulting
找对英语学习方法的第一本书,漏屋,language_learning
技术的本质,布莱恩·阿瑟,generic_consulting
把你的英语用起来,伍君仪/刘晓光,language_learning
把时间当作朋友,李笑来,career_transition;grad_civil_exam;language_learning;learning_planning;time_productivity
投诉处理与客户关系管理,专著,dispute_rights
投资中最简单的事,邱国鹭,family_finance
投资学,博迪,collectibles;family_finance;tax_insurance
投资最重要的事,霍华德·马克斯,stock_trading
抗体药物与生物制药,—,pharma_biomfg
折旧率与保值率分析,—,purchase_decision
报关实务,专业教材,cross_border
担保法司法解释理解与适用,最高院,legal_consulting
拍卖史话,—,collectibles
拍卖市场年鉴(雅昌/中拍协),—,collectibles
拍卖竞买实务,—,collectibles
拒签申诉与再签策略,—,study_abroad
拖延心理学,简·博克,grad_civil_exam;home_organize;time_productivity
拖拉机与汽车学,—,modern_agriculture
招聘与甄选实务,—,resume_interview
拜厄钢琴基础教程,拜厄,music_learning
拥抱你的内在小孩,罗西·马奇-史密斯,mental_wellness
持续交付,Humble & Farley,product_manager
捕捉儿童敏感期,孙瑞雪,child_education;parenting_baby
损伤容限设计,—,aerospace
捡漏与打眼,—,collectibles
换热器原理与设计,—,chemical_industry
掌控习惯,詹姆斯·克利尔,career_transition;fitness_plan;grad_civil_exam;health_checkup;home_organize;language_learning;learning_planning
掌控习惯 Atomic Habits,詹姆斯·克利尔,fitness_plan
排放法规(国六),—,automotive
提琴鉴赏与挑选,—,music_learning
搜索引擎营销(SEM)实战,专著,ecommerce_ops
搞定 GTD,戴维·艾伦,event_planning
搞定 Getting Things Done,戴维·艾伦,event_planning
摄影师的视界(构图与设计),Michael Freeman,photography
摄影构图与色彩设计,哈拉尔德·曼特,short_video
摄影构图学,人民邮电,photography
收纳工具与家居好物测评方法,—,home_organize
收获机械,—,modern_agriculture
收藏入门与渠道指南,—,collectibles
收藏品估值方法,—,collectibles
收藏品流动性与变现,—,collectibles
收藏品税务与传承,—,collectibles
收藏避坑手册,—,collectibles
改变世界的机器 The Machine That Changed the World,沃麦克 等,industrialization
改造传统农业,西奥多·舒尔茨,modern_agriculture
放松反应(The Relaxation Response),Herbert Benson,sleep_health
故事,罗伯特·麦基,writing_polish
故事:材质、结构、风格和银幕剧作的原理,罗伯特·麦基,short_video
故事力(Building a StoryBrand),Donald Miller,presentation_skills
救命饮食,坎贝尔,food_processing
救命饮食 The China Study,坎贝尔,food_processing
教育心理学,陈琦/刘儒德,child_education;learning_planning
教育的目的,怀特海,child_education
数字PR与品牌传播,—,seo_growth
数字信号处理,—,aerospace
数字化制造与装配,—,aerospace
数字化造船与精度管理,—,shipbuilding_marine
数字集成电路,Rabaey,electronics_semiconductor
数据安全法实务,专著,contract_review
数据完整性(ALCOA+),—,pharma_biomfg
数据库系统概念,Silberschatz 等,program_management
数据治理与质量管理,专著,data_analytics
数据驱动,车品觉,seo_growth;short_video
数控加工工艺与编程,—,machinery
数控加工技术,—,aerospace
数码单反摄影从入门到精通,—,photography
整体形象设计,—,fashion_styling
整理收纳师国家职业技能标准,—,home_organize
整车性能开发与评价,—,car_purchase
整车总布置设计,—,automotive
文心,夏丏尊/叶圣陶(三联版),writing_polish
文心雕龙,刘勰,writing_polish
文案训练手册,约瑟夫·休格曼,ecommerce_ops;seo_growth;writing_polish
文物保护学概论,—,collectibles
文物保护材料学,—,collectibles
文物保护科技检测,—,collectibles
文物艺术品流通,—,collectibles
文物鉴定与鉴赏,—,collectibles
文章作法,夏丏尊/刘薰宇,writing_polish
断舍离,山下英子,fashion_styling;home_organize;purchase_decision
新公司法理解与适用,最高院,legal_consulting
新化学物质环境管理登记办法,—,chemical_industry
新型农业经营主体,—,agriculture
新型墙体材料,专著,construction_materials
新娘妆造与跟妆流程指南,综合,wedding_planning
新家庭如何塑造人,萨提亚,child_education
新手养花避坑指南,—,gardening
新概念英语,L.G. 亚历山大,language_learning
新编药物学,—,chronic_disease
新能源汽车技术,—,automotive
新能源汽车标准,—,automotive
新能源汽车结构与原理(全彩图解),—,car_purchase
新能源汽车维护保养,—,car_purchase
新药研发与临床试验(GCP),—,pharma_biomfg
新高考选科政策解读,各省教育考试院,learning_planning
施瓦茨外科学原理,Schwartz,family_doctor
施瓦辛格健身全书,阿诺德·施瓦辛格,fitness_plan;nutrition_fitness
旅行的艺术,阿兰·德波顿,travel_deep;travel_planning
无人驾驶与远程采矿,—,mining_extraction
无价,威廉·庞德斯通,gift_selection
无器械健身,马克·劳伦,fitness_plan;nutrition_fitness
无形资产评估(资产评估教材),—,ip_patent
无损检测(NDT手册),—,aerospace;metallurgy
无损检测技术,—,machinery
无条件养育,艾尔菲·科恩,parenting_baby
无菌工艺与洁净室(ISO 14644),ISO,pharma_biomfg
日本蜡烛图技术,史蒂夫·尼森,stock_trading
时令食材手册,专著,cooking_recipe
时尚通史,Survey of Historic Costume,fashion_styling
时装设计元素:款式与样板,—,fashion_styling
明室(Camera Lucida),罗兰·巴特,photography
明室:摄影札记,罗兰·巴特,travel_deep;travel_planning
明清家具鉴赏与研究,王世襄,collectibles
明清瓷器鉴定,耿宝昌,collectibles
星际航行概论,钱学森,aerospace
显微鉴定技术,—,collectibles
显示技术原理与面板参数,专著,digital_office
普通地质学,—,mining_extraction
普通混凝土配合比设计规程 JGJ 55,行标,construction_materials
智慧农业导论,—,agriculture
智慧农业系统集成,—,modern_agriculture
智能制造与工业4.0,—,automotive
智能制造导论,—,aerospace
智能可穿戴纺织品,—,textiles
智能建筑设计标准 GB 50314,国标,construction_materials
智能矿山技术,—,mining_extraction
智能网联汽车,—,automotive
暖通空调,陆亚俊,construction_materials
曲式与作品分析,—,music_learning
更瘦更强壮,迈克尔·马修斯,fitness_plan
更瘦更强壮 Bigger Leaner Stronger,迈克尔·马修斯,fitness_plan
曼德尔感染病学,Mandell,family_doctor
最优估计与卡尔曼滤波,—,aerospace
最好的告别,阿图·葛文德,chronic_disease;elder_care;family_doctor
最好的告别 Being Mortal,阿图·葛文德,elder_care;health_checkup
最高人民法院指导性案例汇编,最高院,legal_consulting
有吸收力的心灵,蒙台梭利,child_education
有效资产管理,William Bernstein,stock_trading;tax_insurance
有效需求分析,—,product_manager
有机农业生产技术,—,agriculture
有机园艺土壤管理,—,gardening
服务设计实务,—,event_planning
服装人体造型,—,fashion_styling
服装工艺学,—,textiles
服装搭配学,—,fashion_styling
服装材料学,—,textiles
服装结构设计(工业纸样),—,textiles
服装设计学,教材,fashion_styling
服装面料学,教材,fashion_styling
期货市场技术分析,约翰·墨菲,stock_trading
机动车保险条款解读,—,car_purchase
机动车安全技术条件(GB7258),—,automotive
机器人学导论(Introduction to Robotics),约翰·克雷格,machinery
机构投资的创新之路,大卫·史文森,stock_trading
机械制图(GB),—,machinery
机械制图国家标准,GB,machinery
机械制造技术基础,—,aerospace;machinery
机械加工工艺手册,—,aerospace
机械原理,孙桓 等(高教版),machinery
机械可靠性设计,—,machinery
机械安全标准 ISO 12100,ISO,machinery
机械工程手册,—,machinery
机械工程材料,—,machinery
机械设计,濮良贵(高教版),machinery;textiles
机械设计手册,成大先,machinery
机油与润滑油选用指南,—,car_purchase
机织学,朱苏康/高卫东,textiles
杂食者的两难,迈克尔·波伦,modern_agriculture
李永乐复习全书(数学),李永乐,learning_planning
材料力学,刘鸿文,aerospace;machinery
材料力学性能,—,aerospace
材料科学基础,石德珂,aerospace;machinery;metallurgy
板带材轧制,—,metallurgy
极简主义,乔舒亚·米尔本,home_organize;purchase_decision
极简衣橱整理术,—,fashion_styling
构造地质学,—,mining_extraction
林巧稚妇科肿瘤学,连利娟 等,family_doctor
果树栽培学,—,agriculture
果蔬采后生理与保鲜,—,modern_agriculture
枪炮、病菌与钢铁,贾雷德·戴蒙德,agriculture;cross_border;industrialization;modern_agriculture
架构整洁之道,Robert C. Martin,product_manager;program_management
架构整洁之道 Clean Architecture,Robert C. Martin,startup_advisory
染整工艺学(前处理/染色/印花/整理),—,textiles
染料化学,—,chemical_industry;textiles
柯林斯/朗文英语词典,柯林斯/朗文,language_learning
栅格系统与版式设计,米勒-布罗克曼,ui_ux_review
标准化工作导则 GB/T 1.1,—,industrialization
标准美国黄卡叫牌法,—,board_game
核保实务,—,insurance_planning
核反应堆物理分析,谢仲生,energy_power
格-艾放射诊断学,Grainger & Allison,family_doctor
案例面试(Case Interview),—,resume_interview
桌游收藏与评测年鉴,—,board_game
桌游裁判手册,—,board_game
桌游配件与收纳指南,—,board_game
桥牌入门,瞿强立,board_game
桥牌初级教程,—,board_game
桥牌竞赛规则(WBF),WBF,board_game
检验结果临床意义解读,—,chronic_disease
棉花帝国:一部资本主义全球史,斯文·贝克特,textiles
植保机械与施药技术,—,modern_agriculture
植物保护学,—,agriculture;modern_agriculture
植物生理学,—,agriculture;gardening;modern_agriculture
植物病理学,—,agriculture;gardening;modern_agriculture
植物的欲望 Botany of Desire,迈克尔·波伦,modern_agriculture
植物组织培养,—,agriculture
植物营养学,—,agriculture;gardening;modern_agriculture
植物造景,苏雪痕,gardening
概率论与数理统计,高校教材,data_analytics
模拟CMOS集成电路设计,Behzad Razavi,electronics_semiconductor
模拟CMOS集成电路设计 Design of Analog CMOS IC,Behzad Razavi,electronics_semiconductor
模拟电子技术基础,童诗白,electronics_semiconductor
欧洲药典(EP),EDQM,pharma_biomfg
欧洲语言共同参考框架 CEFR,欧洲委员会,language_learning
欧盟 REACH 法规解读,—,chemical_industry
欧盟 VAT 与税务合规实务,专著,cross_border
歌之版图 The Songlines,Bruce Chatwin,travel_deep;travel_planning
正午之魔,安德鲁·所罗门,mental_wellness
正午之魔:抑郁是你我共有的秘密,安德鲁·所罗门,mental_wellness
正向强化训练手册,—,pet_care
正念,乔·卡巴金,sleep_health
正念:此刻是一枝花,卡巴金,mental_wellness
正面管教,简·尼尔森,child_education;parenting_baby
此生未完成,于娟,elder_care
母乳喂养的女性艺术,国际母乳会 LLLI,parenting_baby
母爱的羁绊,卡瑞尔·麦克布莱德,mental_wellness
民事审判指导与参考,最高院丛书,legal_consulting
民事案件案由规定理解与适用,最高院,legal_consulting
民事证据规则理解与适用,最高人民法院,dispute_rights
民事诉讼法,江伟/张卫平,contract_review;legal_consulting
民事诉讼法学,张卫平,contract_review;legal_consulting
民法典(条文+理解与适用),法律出版社,contract_review;rent_buy_house
民法典·婚姻家庭编与继承编理解与适用,最高院,legal_consulting
民法典侵权责任编理解与适用,最高人民法院,dispute_rights
